Unnamed: 0,time,province,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI
128,2018-05-09,广东,24.83231847133758,37.76792356687898,9.61132484076433,16.009095541401273,0.7152993630573248,61.69489171974522,-5.330815286624203,-1.5579490445859874,297.31117197452227,78.38974522292993,98852.16681528663,23.3224076433121,113.41785987261149,一级
129,2018-05-10,广东,20.401070063694267,32.790840764331215,5.996165605095541,15.197133757961783,0.6070445859872612,69.14761783439491,-5.80768152866242,0.7633503184713376,296.60429299363057,79.63773248407644,99037.99370700638,23.3224076433121,113.41785987261149,一级
130,2018-05-11,广东,23.87072611464968,37.885796178343945,5.8782165605095535,16.376547770700636,0.5534394904458598,63.81536305732484,-3.551031847133758,3.4297452229299363,297.1732866242038,80.58028025477707,98909.53421656053,23.3224076433121,113.41785987261149,一级
131,2018-05-12,广东,26.004955414012738,40.4816178343949,5.951426751592357,17.748751592356687,0.579171974522293,56.94340127388535,-0.8830318471337579,4.165885350318471,298.10592356687897,83.94284076433122,98757.83629299364,23.3224076433121,113.41785987261149,一级
132,2018-05-13,广东,23.32619108280255,35.252407643312104,5.500509554140127,16.11229299363057,0.5621146496815287,54.67338853503185,1.072,3.2209299363057324,298.9432484076433,82.4552101910828,98714.59243312104,23.3224076433121,113.41785987261149,一级
133,2018-05-14,广东,22.47369426751592,33.107707006369424,5.871757961783439,15.243426751592358,0.5395796178343949,59.62231847133758,1.4479490445859875,4.405222929936306,299.3252993630573,81.95561783439491,98613.49198726114,23.3224076433121,113.41785987261149,一级
134,2018-05-15,广东,17.433617834394905,25.82407643312102,5.883872611464969,11.035541401273884,0.4125987261146496,56.28433121019108,0.2504458598726115,6.020993630573248,299.6588280254777,80.4104076433121,98534.01119745224,23.3224076433121,113.41785987261149,一级
135,2018-05-16,广东,15.467070063694267,23.99591082802548,4.884305732484076,11.562853503184714,0.421171974522293,55.72661146496815,-0.3144203821656051,5.900777070063694,299.4672611464968,79.63436942675159,98482.31201273888,23.3224076433121,113.41785987261149,一级
136,2018-05-17,广东,17.121821656050955,25.56864968152866,5.330076433121019,12.989337579617834,0.4513630573248408,54.09304458598727,0.3665859872611465,5.282687898089172,299.63194904458595,81.40815286624203,98454.4354522293,23.3224076433121,113.41785987261149,一级
137,2018-05-18,广东,19.8783949044586,29.04602547770701,8.765286624203823,13.838420382165603,0.4359490445859873,60.2247898089172,1.0469554140127388,4.308904458598726,300.0920891719745,81.10615286624204,98421.9717579618,23.3224076433121,113.41785987261149,一级
138,2018-05-19,广东,21.57687898089172,31.49393630573249,5.468331210191083,13.715528662420382,0.4832101910828025,68.07887898089172,1.241031847133758,3.590369426751592,300.4855414012739,79.10466242038217,98418.32182165603,23.3224076433121,113.41785987261149,一级
139,2018-05-20,广东,21.631859872611464,30.93430573248408,5.572254777070064,14.083184713375797,0.4839617834394905,65.7531974522293,0.8951082802547771,3.3100127388535032,300.7351847133758,76.13452229299362,98506.2903821656,23.3224076433121,113.41785987261149,一级
140,2018-05-21,广东,19.52824203821656,29.008433121019102,5.454127388535031,13.643898089171971,0.4676305732484076,66.41419108280255,0.5110191082802548,3.1837197452229296,300.6000636942675,75.58842038216561,98586.4094522293,23.3224076433121,113.41785987261149,一级
141,2018-05-22,广东,18.68917197452229,28.001006369426754,5.179541401273886,12.95863694267516,0.4528407643312102,67.76640764331209,0.5507898089171974,2.408611464968153,300.63898089171977,73.18036942675158,98688.41270063694,23.3224076433121,113.41785987261149,一级
142,2018-05-23,广东,26.0475796178344,41.37164331210191,8.813490445859873,12.33391082802548,0.5680127388535031,84.1615541401274,0.0510445859872611,-0.6282165605095541,300.41163057324843,72.76104458598726,98689.37536305732,23.3224076433121,113.41785987261149,一级
143,2018-05-24,广东,25.717464968152864,40.975197452229295,7.335337579617834,12.772980891719746,0.5718089171974522,87.37236942675159,-0.8242547770700637,3.5724331210191083,300.3110573248408,75.09347770700637,98554.20979617834,23.3224076433121,113.41785987261149,一级
144,2018-05-25,广东,16.55047133757962,26.06245859872612,5.049732484076433,10.743566878980891,0.4182420382165605,66.2067770700637,0.6137961783439491,5.626114649681528,300.2600636942675,76.64076433121019,98405.93606369427,23.3224076433121,113.41785987261149,一级
145,2018-05-26,广东,15.888127388535032,24.418573248407647,5.004585987261146,11.18028025477707,0.4341273885350318,63.63373248407644,1.805006369426752,4.852980891719746,300.958076433121,77.46873885350318,98420.38388535033,23.3224076433121,113.41785987261149,一级
146,2018-05-27,广东,18.197210191082803,30.022101910828024,6.332675159235668,12.878343949044586,0.5041910828025478,64.30814012738854,1.9380127388535031,2.0313885350318475,301.0208025477707,78.72268789808916,98489.0847133758,23.3224076433121,113.41785987261149,一级
147,2018-05-28,广东,21.97307006369427,41.10861146496815,10.625732484076432,14.204585987261147,0.6400254777070064,81.7504203821656,1.5279108280254778,0.1966751592356687,300.77650955414015,75.52570700636943,98518.96266242038,23.3224076433121,113.41785987261149,一级
148,2018-05-29,广东,25.46127388535032,43.58370700636942,10.34631847133758,16.621057324840766,0.6581146496815287,79.41368152866242,2.017783439490446,1.870496815286624,301.2787643312102,72.2099617834395,98572.91764331207,23.3224076433121,113.41785987261149,一级
149,2018-05-30,广东,22.20785987261146,36.70821656050956,7.94607643312102,16.023350318471337,0.5855031847133758,64.86020382165606,2.154611464968153,2.9871082802547773,301.60307006369425,72.03295541401275,98613.40385987262,23.3224076433121,113.41785987261149,一级
150,2018-05-31,广东,20.67887898089172,32.64935031847134,7.921439490445859,13.88056050955414,0.5368662420382165,60.79587261146497,1.8938471337579617,1.0665222929936309,301.3482165605096,72.91784713375796,98654.53810191082,23.3224076433121,113.41785987261149,一级
151,2018-06-01,广东,21.978675159235667,36.47881528662421,9.869719745222929,11.555452229299364,0.6090700636942675,69.62014012738854,-2.261222929936306,-1.991859872611465,299.656152866242,78.1235668789809,98668.18406369428,23.3224076433121,113.41785987261149,一级
152,2018-06-02,广东,23.64175796178344,37.12645859872612,8.242802547770701,10.991464968152863,0.6211210191082802,81.69345222929937,-2.8390828025477703,-1.0412993630573248,299.0112229299363,80.70346496815287,98654.46411464969,23.3224076433121,113.41785987261149,一级
153,2018-06-03,广东,29.066471337579618,44.295668789808914,8.212993630573248,10.950496815286623,0.6627770700636942,92.03854777070065,-3.3372611464968154,-0.8081910828025477,299.4476433121019,78.87523566878981,98446.93611464968,23.3224076433121,113.41785987261149,一级
154,2018-06-04,广东,27.546292993630573,41.22982165605096,7.570789808917197,12.29727388535032,0.6253248407643313,80.69421656050956,-4.886394904458599,-0.913656050955414,300.01328662420383,76.60587261146497,98370.88582165606,23.3224076433121,113.41785987261149,一级
155,2018-06-05,广东,19.218904458598725,27.963019108280257,7.089031847133758,13.064687898089172,0.6003821656050956,54.15472611464968,-5.371579617834394,-2.1440382165605096,299.5585477707006,81.7015923566879,98277.23229299362,23.3224076433121,113.41785987261149,一级
156,2018-06-06,广东,11.54087898089172,19.047375796178343,6.3228025477707,13.58284076433121,0.5903949044585987,36.17636942675159,-6.884292993630574,-3.5350063694267515,299.4135923566879,84.1471847133758,98059.211477707,23.3224076433121,113.41785987261149,一级
157,2018-06-07,广东,11.39592356687898,16.826140127388534,5.574764331210191,10.93287898089172,0.5324713375796178,40.81286624203821,-8.27771974522293,-3.2815541401273887,299.53802547770704,82.13989808917198,97922.86681528664,23.3224076433121,113.41785987261149,一级
158,2018-06-08,广东,11.507070063694266,17.476318471337578,5.2395668789808925,10.126356687898088,0.5324968152866242,45.39943949044586,-6.282178343949045,-3.1452356687898093,298.9783694267516,83.07582165605095,97652.52602547772,23.3224076433121,113.41785987261149,一级
159,2018-06-09,广东,13.475070063694268,21.54138853503185,5.927350318471338,10.790229299363055,0.528891719745223,47.34812738853503,-2.6176560509554143,-3.592687898089172,299.87343949044583,80.20284076433121,97587.55261146495,23.3224076433121,113.41785987261149,一级
160,2018-06-10,广东,24.52033121019108,41.35229299363057,10.557579617834396,12.72828025477707,0.671171974522293,73.96457324840765,-0.5294267515923567,-5.514496815286624,300.1167515923567,72.28989808917197,97794.17478980892,23.3224076433121,113.41785987261149,一级
161,2018-06-11,广东,30.8956050955414,50.55019108280255,11.421388535031848,15.055273885350315,0.6901656050955414,98.07733757961785,-1.4114012738853503,-3.031668789808917,299.17521019108284,62.87038216560509,97982.75324840764,23.3224076433121,113.41785987261149,二级
